Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
RBBN,Ribbon Communications Inc.,Information Technology,Communications Equipment,3.00,0.0001,0.0989,0.11
OUST,Ouster Inc.,Information Technology,Electronic Equipment Instruments and Components,11.52,0.0001,1.0489,0.60
DMRC,Digimarc Corporation,Information Technology,Software,28.78,0.0001,-0.0435,-0.05
MVIS,MicroVision Inc.,Information Technology,Electronic Equipment Instruments and Components,1.07,0.0001,-0.8396,-5.45
EGHT,8x8 Inc.,Information Technology,Software,2.58,0.0001,-0.3380,-0.47
CIFR,Cipher Mining Inc.,Information Technology,Software,4.29,0.0001,0.8674,0.42
DOMO,Domo Inc.,Information Technology,Software,6.84,0.0001,-0.5220,-1.00
APLD,Applied Digital Corporation,Information Technology,IT Services,4.55,0.0001,-0.4303,-0.69
TWKS,Thoughtworks Holding Inc.,Information Technology,IT Services,2.85,0.0001,-0.6261,-1.53
LAW,CS Disco Inc.,Information Technology,Software,5.78,0.0001,-0.2802,-0.30
CCSI,Consensus Cloud Solutions Inc.,Information Technology,Software,18.29,0.0001,-0.4857,-0.74
MX,Magnachip Semiconductor Corporation,Information Technology,Semiconductors and Semiconductor Equipment,4.94,0.0001,-0.5597,-0.99
COMM,CommScope Holding Company Inc.,Information Technology,Communications Equipment,1.55,0.0001,-0.6552,-1.49
TLS,Telos Corporation,Information Technology,Software,4.08,0.0001,0.5167,0.22
ONTF,ON24 Inc.,Information Technology,Software,5.62,0.0001,-0.3079,-0.29
APPS,Digital Turbine Inc.,Information Technology,Software,1.54,0.0001,-0.8298,-3.18
TCX,Tucows Inc.,Information Technology,IT Services,21.04,0.0001,-0.3083,-0.29
RMNI,Rimini Street Inc.,Information Technology,Software,2.77,0.0000,-0.3618,-0.30
MASS,908 Devices Inc.,Information Technology,Electronic Equipment Instruments and Components,6.20,0.0000,-0.3410,-0.27
RXT,Rackspace Technology Inc.,Information Technology,IT Services,2.25,0.0000,0.2829,0.09
VERI,Veritone Inc.,Information Technology,Software,2.63,0.0000,-0.3375,-0.20
AEVA,Aeva Technologies Inc.,Information Technology,Electronic Equipment Instruments and Components,3.14,0.0000,-0.5482,-0.32
EXFY,Expensify Inc.,Information Technology,Software,1.45,0.0000,-0.7978,-1.03
PMTS,CPI Card Group Inc.,Information Technology,Technology Hardware Storage and Peripherals,26.73,0.0000,0.1607,0.04
SCWX,SecureWorks Corp.,Information Technology,Software,6.24,0.0000,-0.2216,-0.07
LPSN,LivePerson Inc.,Information Technology,Software,0.66,0.0000,-0.8137,-0.57
FCUV,Focus Universal Inc.,Information Technology,Electronic Equipment Instruments and Components,0.24,,-0.8393,
[object Object],Vanguard Market Liquidity Fund,Unclassified,Unclassified,,0.0029,,
[object Object],Vanguard Market Liquidity Fund,Unclassified,Unclassified,,0.0017,,
